TrtID,TrtCode,Treatment,Site,Crop,MD,Rep,Trap,SiteID,Week,Count,Date,Days
1,A,NowBiolure,Kettleman,Alm,No,1,314,3,24,8,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,2,324,3,24,6,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,3,332,3,24,6,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,4,343,3,24,8,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,5,355,3,24,7,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,6,361,3,24,2,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,7,371,3,24,6,06/14/2017,7
1,A,NowBiolure,Kettleman,Alm,No,8,381,3,24,11,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,1,315,3,24,0,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,2,322,3,24,12,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,3,333,3,24,0,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,4,345,3,24,0,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,5,351,3,24,4,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,6,362,3,24,1,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,7,375,3,24,2,06/14/2017,7
2,B,Ppo,Kettleman,Alm,No,8,382,3,24,0,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,1,311,3,24,5,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,2,325,3,24,2,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,3,334,3,24,0,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,4,344,3,24,3,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,5,354,3,24,19,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,6,364,3,24,7,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,7,372,3,24,2,06/14/2017,7
3,C,PpoCombo,Kettleman,Alm,No,8,383,3,24,4,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,1,312,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,2,323,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,3,335,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,4,342,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,5,353,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,6,365,3,24,2,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,7,373,3,24,0,06/14/2017,7
4,D,StopNow,Kettleman,Alm,No,8,385,3,24,0,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,1,313,3,24,3,06/14/2017,7
5,E,StopNowCombo,Kettleman,Alm,No,2,321,3,24,3,06/14/2017,7
