TrtID,TrtCode,Treatment,Site,Crop,MD,Rep,Trap,SiteID,Week,Date,Sex,Count
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,24,6/15/2017,Female,5
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,24,6/15/2017,Male,8
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,25,6/23/2017,Female,0
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,25,6/23/2017,Male,10
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,27,7/5/2017,Female,5
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,27,7/5/2017,Male,18
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,28,7/14/2017,Female,4
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,28,7/14/2017,Male,5
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,29,7/18/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,29,7/18/2017,Male,9
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,32,8/9/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,32,8/9/2017,Male,13
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,33,8/15/2017,Female,13
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,33,8/15/2017,Male,31
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,36,9/7/2017,Female,5
3,C,PpoCombo,VistaVerde,Alm,Yes,1,111,1,36,9/7/2017,Male,12
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,26,6/29/2017,Female,2
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,26,6/29/2017,Male,4
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,32,8/9/2017,Female,1
4,D,StopNow,VistaVerde,Alm,Yes,1,112,1,32,8/9/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,25,6/23/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,25,6/23/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,26,6/29/2017,Female,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,26,6/29/2017,Male,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,27,7/5/2017,Female,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,27,7/5/2017,Male,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,30,7/26/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,30,7/26/2017,Male,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,32,8/9/2017,Female,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,32,8/9/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,33,8/15/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,1,113,1,33,8/15/2017,Male,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,24,6/15/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,24,6/15/2017,Male,4
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,25,6/23/2017,Female,0
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,25,6/23/2017,Male,9
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,26,6/29/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,26,6/29/2017,Male,4
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,27,7/5/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,27,7/5/2017,Male,4
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,28,7/14/2017,Female,0
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,28,7/14/2017,Male,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,29,7/18/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,29,7/18/2017,Male,1
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,32,8/9/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,32,8/9/2017,Male,7
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,33,8/15/2017,Female,4
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,33,8/15/2017,Male,9
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,36,9/7/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,1,114,1,36,9/7/2017,Male,4
1,A,NowBiolure,VistaVerde,Alm,Yes,2,121,1,32,8/9/2017,Female,0
1,A,NowBiolure,VistaVerde,Alm,Yes,2,121,1,32,8/9/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,27,7/5/2017,Female,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,27,7/5/2017,Male,5
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,28,7/14/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,28,7/14/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,30,7/26/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,30,7/26/2017,Male,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,32,8/9/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,2,122,1,32,8/9/2017,Male,1
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,26,6/29/2017,Female,3
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,26,6/29/2017,Male,5
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,31,8/2/2017,Female,0
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,31,8/2/2017,Male,1
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,36,9/7/2017,Female,0
4,D,StopNow,VistaVerde,Alm,Yes,2,123,1,36,9/7/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,24,6/15/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,24,6/15/2017,Male,7
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,26,6/29/2017,Female,9
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,26,6/29/2017,Male,19
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,27,7/5/2017,Female,4
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,27,7/5/2017,Male,14
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,28,7/14/2017,Female,3
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,28,7/14/2017,Male,3
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,29,7/18/2017,Female,4
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,29,7/18/2017,Male,4
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,30,7/26/2017,Female,0
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,30,7/26/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,31,8/2/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,31,8/2/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,32,8/9/2017,Female,5
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,32,8/9/2017,Male,8
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,33,8/15/2017,Female,11
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,33,8/15/2017,Male,19
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,36,9/7/2017,Female,3
3,C,PpoCombo,VistaVerde,Alm,Yes,2,124,1,36,9/7/2017,Male,4
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,24,6/15/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,24,6/15/2017,Male,0
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,25,6/23/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,25,6/23/2017,Male,5
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,26,6/29/2017,Female,5
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,26,6/29/2017,Male,11
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,27,7/5/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,27,7/5/2017,Male,9
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,28,7/14/2017,Female,4
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,28,7/14/2017,Male,2
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,29,7/18/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,29,7/18/2017,Male,5
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,32,8/9/2017,Female,4
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,32,8/9/2017,Male,8
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,33,8/15/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,33,8/15/2017,Male,28
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,36,9/7/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,2,125,1,36,9/7/2017,Male,6
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,27,7/5/2017,Female,1
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,27,7/5/2017,Male,4
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,33,8/15/2017,Female,1
4,D,StopNow,VistaVerde,Alm,Yes,3,132,1,33,8/15/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,24,6/15/2017,Female,0
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,24,6/15/2017,Male,5
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,25,6/23/2017,Female,4
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,25,6/23/2017,Male,7
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,26,6/29/2017,Female,7
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,26,6/29/2017,Male,23
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,28,7/14/2017,Female,3
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,28,7/14/2017,Male,2
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,29,7/18/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,29,7/18/2017,Male,5
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,32,8/9/2017,Female,5
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,32,8/9/2017,Male,12
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,33,8/15/2017,Female,8
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,33,8/15/2017,Male,24
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,36,9/7/2017,Female,1
3,C,PpoCombo,VistaVerde,Alm,Yes,3,133,1,36,9/7/2017,Male,7
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,25,6/23/2017,Female,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,25,6/23/2017,Male,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,26,6/29/2017,Female,4
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,26,6/29/2017,Male,6
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,27,7/5/2017,Female,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,27,7/5/2017,Male,3
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,29,7/18/2017,Female,9
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,29,7/18/2017,Male,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,31,8/2/2017,Female,2
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,31,8/2/2017,Male,0
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,32,8/9/2017,Female,3
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,32,8/9/2017,Male,1
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,33,8/15/2017,Female,48
5,E,StopNowCombo,VistaVerde,Alm,Yes,3,134,1,33,8/15/2017,Male,4
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,24,6/15/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,24,6/15/2017,Male,2
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,25,6/23/2017,Female,4
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,25,6/23/2017,Male,11
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,26,6/29/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,26,6/29/2017,Male,6
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,27,7/5/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,27,7/5/2017,Male,5
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,28,7/14/2017,Female,3
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,28,7/14/2017,Male,0
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,29,7/18/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,29,7/18/2017,Male,1
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,32,8/9/2017,Female,4
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,32,8/9/2017,Male,9
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,33,8/15/2017,Female,11
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,33,8/15/2017,Male,37
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,36,9/7/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,3,135,1,36,9/7/2017,Male,12
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,26,6/29/2017,Female,0
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,26,6/29/2017,Male,3
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,30,7/26/2017,Female,0
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,30,7/26/2017,Male,1
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,33,8/15/2017,Female,1
4,D,StopNow,VistaVerde,Alm,Yes,4,141,1,33,8/15/2017,Male,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,24,6/15/2017,Female,0
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,24,6/15/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,25,6/23/2017,Female,1
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,25,6/23/2017,Male,5
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,27,7/5/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,27,7/5/2017,Male,17
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,28,7/14/2017,Female,4
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,28,7/14/2017,Male,6
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,29,7/18/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,29,7/18/2017,Male,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,31,8/2/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,31,8/2/2017,Male,1
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,32,8/9/2017,Female,6
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,32,8/9/2017,Male,14
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,33,8/15/2017,Female,12
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,33,8/15/2017,Male,26
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,36,9/7/2017,Female,2
3,C,PpoCombo,VistaVerde,Alm,Yes,4,142,1,36,9/7/2017,Male,5
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,24,6/15/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,24,6/15/2017,Male,3
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,26,6/29/2017,Female,5
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,26,6/29/2017,Male,6
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,27,7/5/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,27,7/5/2017,Male,3
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,28,7/14/2017,Female,1
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,28,7/14/2017,Male,1
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,29,7/18/2017,Female,2
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,29,7/18/2017,Male,3
2,B,Ppo,VistaVerde,Alm,Yes,4,143,1,32,8/9/2017,Female,2
