Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,Female,EndDate,StartDate,Comment
1,311,B,PPO,Kettleman,Alm,No,39,36,,4/27/2018,4/10/2018,"Free form comments about specific records except in this case, because this is the first record in this data set"
1,312,A,Biolure,Kettleman,Alm,No,88,88,,4/27/2018,4/10/2018,
1,313,D,StopNow,Kettleman,Alm,No,45,41,,4/27/2018,4/10/2018,
1,314,C,PPOBiolure,Kettleman,Alm,No,69,63,,4/27/2018,4/10/2018,
1,315,E,StopNowBiolure,Kettleman,Alm,No,92,88,,4/27/2018,4/10/2018,
2,321,C,,Kettleman,Alm,No,73,62,,4/27/2018,4/10/2018,
2,322,D,,Kettleman,Alm,No,,,,4/27/2018,4/10/2018,
2,323,A,,Kettleman,Alm,No,94,94,,4/27/2018,4/10/2018,
2,324,B,,Kettleman,Alm,No,29,25,,4/27/2018,4/10/2018,
2,325,E,,Kettleman,Alm,No,69,67,,4/27/2018,4/10/2018,
3,331,A,,Kettleman,Alm,No,73,73,,4/27/2018,4/10/2018,
3,332,D,,Kettleman,Alm,No,38,32,,4/27/2018,4/10/2018,
3,333,B,,Kettleman,Alm,No,18,18,,4/27/2018,4/10/2018,
3,334,E,,Kettleman,Alm,No,55,53,,4/27/2018,4/10/2018,
3,335,C,,Kettleman,Alm,No,68,62,,4/27/2018,4/10/2018,
4,341,B,,Kettleman,Alm,No,34,30,,4/27/2018,4/10/2018,
4,342,D,,Kettleman,Alm,No,22,22,,4/27/2018,4/10/2018,
4,343,E,,Kettleman,Alm,No,88,77,,4/27/2018,4/10/2018,
4,344,A,,Kettleman,Alm,No,85,85,,4/27/2018,4/10/2018,
4,345,C,,Kettleman,Alm,No,79,70,,4/27/2018,4/10/2018,
5,351,E,,Kettleman,Alm,No,85,85,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
5,352,D,,Kettleman,Alm,No,65,61,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
5,353,C,,Kettleman,Alm,No,68,66,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
5,354,B,,Kettleman,Alm,No,46,40,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
5,355,A,,Kettleman,Alm,No,14,14,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
6,361,E,,Kettleman,Alm,No,67,60,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
6,362,D,,Kettleman,Alm,No,78,69,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
6,363,C,,Kettleman,Alm,No,20,19,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
6,364,B,,Kettleman,Alm,No,42,38,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
6,365,A,,Kettleman,Alm,No,82,82,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
7,371,E,,Kettleman,Alm,No,30,28,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
7,372,D,,Kettleman,Alm,No,11,11,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
7,373,C,,Kettleman,Alm,No,41,41,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
7,374,B,,Kettleman,Alm,No,65,59,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
7,375,A,,Kettleman,Alm,No,56,48,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
8,381,E,,Kettleman,Alm,No,17,15,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
8,382,D,,Kettleman,Alm,No,40,38,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
8,383,C,,Kettleman,Alm,No,52,44,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
8,384,B,,Kettleman,Alm,No,86,80,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
8,385,A,,Kettleman,Alm,No,84,84,,4/27/2018,4/10/2018,"""Treatment order identical on reps 5-8 do to errors in plot set-up. Numbers written on traps do not match actual position numbers"""
1,311,B,,Kettleman,Alm,No,43,40,,5/4/2018,4/27/2018,
1,312,A,,Kettleman,Alm,No,61,61,,5/4/2018,4/27/2018,
1,313,D,,Kettleman,Alm,No,38,32,,5/4/2018,4/27/2018,
1,314,C,,Kettleman,Alm,No,73,68,,5/4/2018,4/27/2018,
1,315,E,,Kettleman,Alm,No,52,50,,5/4/2018,4/27/2018,
2,321,C,,Kettleman,Alm,No,55,51,,5/4/2018,4/27/2018,
2,322,D,,Kettleman,Alm,No,,,,5/4/2018,4/27/2018,Trap found on ground
2,323,A,,Kettleman,Alm,No,58,58,,5/4/2018,4/27/2018,
2,324,B,,Kettleman,Alm,No,36,32,,5/4/2018,4/27/2018,
2,325,E,,Kettleman,Alm,No,71,64,,5/4/2018,4/27/2018,
3,331,A,,Kettleman,Alm,No,49,49,,5/4/2018,4/27/2018,
3,332,D,,Kettleman,Alm,No,41,38,,5/4/2018,4/27/2018,
3,333,B,,Kettleman,Alm,No,42,36,,5/4/2018,4/27/2018,
3,334,E,,Kettleman,Alm,No,64,60,,5/4/2018,4/27/2018,
3,335,C,,Kettleman,Alm,No,70,61,,5/4/2018,4/27/2018,
4,341,B,,Kettleman,Alm,No,69,64,,5/4/2018,4/27/2018,
4,342,D,,Kettleman,Alm,No,47,40,,5/4/2018,4/27/2018,
4,343,E,,Kettleman,Alm,No,60,58,,5/4/2018,4/27/2018,
4,344,A,,Kettleman,Alm,No,48,48,,5/4/2018,4/27/2018,
4,345,C,,Kettleman,Alm,No,63,51,,5/4/2018,4/27/2018,
5,351,A,,Kettleman,Alm,No,68,68,,5/4/2018,4/27/2018,Treatment order from 4/10 to 5/26 for reps 5-8 were as shown in previous period
5,352,C,,Kettleman,Alm,No,86,71,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
5,353,E,,Kettleman,Alm,No,61,54,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
5,354,D,,Kettleman,Alm,No,14,13,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
5,355,B,,Kettleman,Alm,No,31,29,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
6,361,E,,Kettleman,Alm,No,40,37,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
6,362,C,,Kettleman,Alm,No,78,68,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
6,363,B,,Kettleman,Alm,No,39,33,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
6,364,D,,Kettleman,Alm,No,45,45,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
6,365,A,,Kettleman,Alm,No,46,46,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
7,371,D,,Kettleman,Alm,No,28,27,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
7,372,B,,Kettleman,Alm,No,20,16,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
7,373,A,,Kettleman,Alm,No,77,77,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
7,374,E,,Kettleman,Alm,No,46,41,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
7,375,C,,Kettleman,Alm,No,50,43,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
8,381,B,,Kettleman,Alm,No,49,39,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
8,382,D,,Kettleman,Alm,No,44,40,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
8,383,E,,Kettleman,Alm,No,74,68,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
8,384,C,,Kettleman,Alm,No,81,72,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
8,385,A,,Kettleman,Alm,No,82,82,,5/4/2018,4/27/2018,"Treatments re-ordered 4/26 per planned randomization, and this was used in current monitoring period"
1,311,B,,Kettleman,Alm,No,50,46,,5/16/2018,5/4/2018,
1,312,A,,Kettleman,Alm,No,54,54,,5/16/2018,5/4/2018,
1,313,D,,Kettleman,Alm,No,53,49,,5/16/2018,5/4/2018,
1,314,C,,Kettleman,Alm,No,79,70,,5/16/2018,5/4/2018,
1,315,E,,Kettleman,Alm,No,81,72,,5/16/2018,5/4/2018,
2,321,C,,Kettleman,Alm,No,68,60,,5/16/2018,5/4/2018,
2,322,D,,Kettleman,Alm,No,21,19,,5/16/2018,5/4/2018,
2,323,A,,Kettleman,Alm,No,42,42,,5/16/2018,5/4/2018,
2,324,B,,Kettleman,Alm,No,48,44,,5/16/2018,5/4/2018,
