Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,Female,EndDate,StartDate,Comment,,,
1,211,B,PPO,VistaVerde,Pis,Yes,16,13,,4/30/2018,4/9/2018,"Treatment left blank in all but rep1 of the first monitoring interval because of a SNAFU in Reps 5 and 7, discovered on May 16",,,
1,212,A,Biolure,VistaVerde,Pis,Yes,44,44,,4/30/2018,4/9/2018,Versions on Github prior to 2018-05-16 will contain TrtCode and Treatment as originally in this file,,,
1,213,D,StopNow,VistaVerde,Pis,Yes,8,7,,4/30/2018,4/9/2018,,,,
1,214,C,PPOBiolure,VistaVerde,Pis,Yes,36,34,,4/30/2018,4/9/2018,,,,
1,215,E,StopNowBiolure,VistaVerde,Pis,Yes,67,60,,4/30/2018,4/9/2018,,,,
2,221,E,,VistaVerde,Pis,Yes,49,42,,4/30/2018,4/9/2018,,,,
2,222,B,,VistaVerde,Pis,Yes,9,7,,4/30/2018,4/9/2018,,,,
2,223,D,,VistaVerde,Pis,Yes,4,4,,4/30/2018,4/9/2018,,,,
2,224,A,,VistaVerde,Pis,Yes,30,30,,4/30/2018,4/9/2018,,,,
2,225,C,,VistaVerde,Pis,Yes,31,29,,4/30/2018,4/9/2018,,,,
3,231,C,,VistaVerde,Pis,Yes,18,16,,4/30/2018,4/9/2018,,,,
3,232,E,,VistaVerde,Pis,Yes,32,28,,4/30/2018,4/9/2018,,,,
3,233,D,,VistaVerde,Pis,Yes,,,,4/30/2018,4/9/2018,,,,
3,234,B,,VistaVerde,Pis,Yes,14,12,,4/30/2018,4/9/2018,,,,
3,235,A,,VistaVerde,Pis,Yes,35,35,,4/30/2018,4/9/2018,,,,
4,241,E,,VistaVerde,Pis,Yes,32,28,,4/30/2018,4/9/2018,,,,
4,242,D,,VistaVerde,Pis,Yes,21,19,,4/30/2018,4/9/2018,,,,
4,243,B,,VistaVerde,Pis,Yes,15,12,,4/30/2018,4/9/2018,,,,
4,244,C,,VistaVerde,Pis,Yes,32,24,,4/30/2018,4/9/2018,,,,
4,245,A,,VistaVerde,Pis,Yes,29,29,,4/30/2018,4/9/2018,,,,
5,251,C,,VistaVerde,Pis,Yes,13,8,,4/30/2018,4/9/2018,Discrepancy between Excel data file and paper data form discovered May 16 in rep 5,,,
5,252,A,,VistaVerde,Pis,Yes,30,30,,4/30/2018,4/9/2018,On May 16 Rep 5 treatment codes re-ordered to match the paper data form,,,
5,253,B,,VistaVerde,Pis,Yes,16,11,,4/30/2018,4/9/2018,On May 16 Rep 5 treatment codes re-ordered to match the paper data form,,,
5,254,D,,VistaVerde,Pis,Yes,22,16,,4/30/2018,4/9/2018,On May 16 Rep 5 treatment codes re-ordered to match the paper data form,,,
5,255,E,,VistaVerde,Pis,Yes,32,28,,4/30/2018,4/9/2018,On May 16 Rep 5 treatment codes re-ordered to match the paper data form,,,
6,261,A,,VistaVerde,Pis,Yes,42,42,,4/30/2018,4/9/2018,,,,
6,262,E,,VistaVerde,Pis,Yes,31,27,,4/30/2018,4/9/2018,,,,
6,263,B,,VistaVerde,Pis,Yes,15,15,,4/30/2018,4/9/2018,,,,
6,264,C,,VistaVerde,Pis,Yes,39,36,,4/30/2018,4/9/2018,,,,
6,265,D,,VistaVerde,Pis,Yes,9,9,,4/30/2018,4/9/2018,,,,
7,271,B,,VistaVerde,Pis,Yes,23,20,,4/30/2018,4/9/2018,Discrepancy between Excel data file and paper data form discovered May 16 in rep 7,,,
7,272,A,,VistaVerde,Pis,Yes,23,23,,4/30/2018,4/9/2018,On May 16 Rep 7 treatment codes re-ordered to match the paper data form,,,
7,273,C,,VistaVerde,Pis,Yes,29,22,,4/30/2018,4/9/2018,On May 16 Rep 7 treatment codes re-ordered to match the paper data form,,,
7,274,E,,VistaVerde,Pis,Yes,20,19,,4/30/2018,4/9/2018,On May 16 Rep 7 treatment codes re-ordered to match the paper data form,,,
7,275,D,,VistaVerde,Pis,Yes,19,11,,4/30/2018,4/9/2018,On May 16 Rep 7 treatment codes re-ordered to match the paper data form,,,
8,281,A,,VistaVerde,Pis,Yes,36,36,,4/30/2018,4/9/2018,,,,
8,282,B,,VistaVerde,Pis,Yes,12,9,,4/30/2018,4/9/2018,,,,
8,283,D,,VistaVerde,Pis,Yes,,,,4/30/2018,4/9/2018,,,,
8,284,C,,VistaVerde,Pis,Yes,,,,4/30/2018,4/9/2018,,,,
8,285,E,,VistaVerde,Pis,Yes,49,44,,4/30/2018,4/9/2018,,,,
1,211,B,,VistaVerde,Pis,Yes,23,21,,5/8/2018,4/30/2018,,,,
1,212,A,,VistaVerde,Pis,Yes,8,8,,5/8/2018,4/30/2018,,,,
1,213,D,,VistaVerde,Pis,Yes,10,9,,5/8/2018,4/30/2018,,,,
1,214,C,,VistaVerde,Pis,Yes,44,39,,5/8/2018,4/30/2018,,,,
1,215,E,,VistaVerde,Pis,Yes,38,36,,5/8/2018,4/30/2018,,,,
