Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,CantDist,EndDate,StartDate,Comment
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,1,0,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,2,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,2,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,1,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,0,NA,NA,7/25/2018,7/12/2018,Unable to find infromation about the evaluation for this date 
