Rep,TrapID,TrtCode,Treatment,Site,Crop,MD,Count,Male,CantDist,EndDate,StartDate
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,40,23,0,6/29/2018,6/21/2018
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,2,0,6/29/2018,6/21/2018
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,10,4,0,6/29/2018,6/21/2018
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,2,1,0,6/29/2018,6/21/2018
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,32,21,0,6/29/2018,6/21/2018
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,10,4,0,6/29/2018,6/21/2018
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,7,2,0,6/29/2018,6/21/2018
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,2,0,6/29/2018,6/21/2018
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,16,10,0,6/29/2018,6/21/2018
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,9,4,0,6/29/2018,6/21/2018
3,1033,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
3,1034,B,WingPheroPpo,VistaVerde,Almond,Yes,31,19,0,6/29/2018,6/21/2018
3,1035,E,BuckPpo,VistaVerde,Almond,Yes,9,4,0,6/29/2018,6/21/2018
4,1041,B,WingPheroPpo,VistaVerde,Almond,Yes,34,21,0,6/29/2018,6/21/2018
4,1042,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
4,1043,E,BuckPpo,VistaVerde,Almond,Yes,7,3,0,6/29/2018,6/21/2018
4,1044,C,BuckPheroPpo,VistaVerde,Almond,Yes,18,3,0,6/29/2018,6/21/2018
4,1045,D,DeltPheroPpo,VistaVerde,Almond,Yes,15,11,0,6/29/2018,6/21/2018
5,1051,E,BuckPpo,VistaVerde,Almond,Yes,8,2,0,6/29/2018,6/21/2018
5,1052,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
5,1053,C,BuckPheroPpo,VistaVerde,Almond,Yes,3,1,0,6/29/2018,6/21/2018
5,1054,B,WingPheroPpo,VistaVerde,Almond,Yes,44,33,0,6/29/2018,6/21/2018
5,1055,D,DeltPheroPpo,VistaVerde,Almond,Yes,4,2,0,6/29/2018,6/21/2018
6,1061,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
6,1062,C,BuckPheroPpo,VistaVerde,Almond,Yes,9,4,0,6/29/2018,6/21/2018
6,1063,D,DeltPheroPpo,VistaVerde,Almond,Yes,12,8,0,6/29/2018,6/21/2018
6,1064,E,BuckPpo,VistaVerde,Almond,Yes,1,1,0,6/29/2018,6/21/2018
6,1065,B,WingPheroPpo,VistaVerde,Almond,Yes,44,29,0,6/29/2018,6/21/2018
7,1071,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
7,1072,D,DeltPheroPpo,VistaVerde,Almond,Yes,8,1,0,6/29/2018,6/21/2018
7,1073,E,BuckPpo,VistaVerde,Almond,Yes,4,2,0,6/29/2018,6/21/2018
7,1074,B,WingPheroPpo,VistaVerde,Almond,Yes,30,19,0,6/29/2018,6/21/2018
7,1075,C,BuckPheroPpo,VistaVerde,Almond,Yes,5,3,0,6/29/2018,6/21/2018
8,1081,B,WingPheroPpo,VistaVerde,Almond,Yes,48,31,0,6/29/2018,6/21/2018
8,1082,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,6/29/2018,6/21/2018
8,1083,D,DeltPheroPpo,VistaVerde,Almond,Yes,14,7,1,6/29/2018,6/21/2018
8,1084,C,BuckPheroPpo,VistaVerde,Almond,Yes,11,2,0,6/29/2018,6/21/2018
8,1085,E,BuckPpo,VistaVerde,Almond,Yes,9,5,0,6/29/2018,6/21/2018
1,1011,B,WingPheroPpo,VistaVerde,Almond,Yes,26,4,0,7/12/2018,6/29/2018
1,1012,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,3,1,7/12/2018,6/29/2018
1,1013,C,BuckPheroPpo,VistaVerde,Almond,Yes,1,0,0,7/12/2018,6/29/2018
1,1014,E,BuckPpo,VistaVerde,Almond,Yes,2,1,0,7/12/2018,6/29/2018
1,1015,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,7/12/2018,6/29/2018
2,1021,B,WingPheroPpo,VistaVerde,Almond,Yes,7,4,0,7/12/2018,6/29/2018
2,1022,A,WingPhero,VistaVerde,Almond,Yes,0,0,0,7/12/2018,6/29/2018
2,1023,C,BuckPheroPpo,VistaVerde,Almond,Yes,4,2,0,7/12/2018,6/29/2018
2,1024,E,BuckPpo,VistaVerde,Almond,Yes,6,3,0,7/12/2018,6/29/2018
2,1025,D,DeltPheroPpo,VistaVerde,Almond,Yes,3,1,0,7/12/2018,6/29/2018
3,1031,D,DeltPheroPpo,VistaVerde,Almond,Yes,5,1,0,7/12/2018,6/29/2018
3,1032,C,BuckPheroPpo,VistaVerde,Almond,Yes,5,3,0,7/12/2018,6/29/2018
