"MD","attractant","phero_lure","Date","total_now","males","Prop_males","julian"
"No","Kairomone","No pheromone lure",2017-06-15,2,0,0,166
"No","Kairomone","No pheromone lure",2017-06-22,24,20,0.833333333333333,173
"No","Kairomone","No pheromone lure",2017-06-28,13,9,0.692307692307692,179
"No","Kairomone","No pheromone lure",2017-07-06,17,13,0.764705882352941,187
"No","Kairomone","No pheromone lure",2017-07-11,4,4,1,192
"No","Kairomone","No pheromone lure",2017-07-20,12,9,0.75,201
"No","Kairomone","No pheromone lure",2017-07-27,2,2,1,208
"No","Kairomone","No pheromone lure",2017-08-08,68,47,0.691176470588235,220
"No","Kairomone","No pheromone lure",2017-08-23,53,45,0.849056603773585,235
"No","Kairomone","Pheromone lure",2017-06-15,40,34,0.85,166
"No","Kairomone","Pheromone lure",2017-06-22,49,42,0.857142857142857,173
"No","Kairomone","Pheromone lure",2017-06-28,50,40,0.8,179
"No","Kairomone","Pheromone lure",2017-07-06,63,48,0.761904761904762,187
"No","Kairomone","Pheromone lure",2017-07-11,31,24,0.774193548387097,192
"No","Kairomone","Pheromone lure",2017-07-20,38,36,0.947368421052632,201
"No","Kairomone","Pheromone lure",2017-07-27,3,2,0.666666666666667,208
"No","Kairomone","Pheromone lure",2017-08-01,495,367,0.741414141414141,213
"No","Kairomone","Pheromone lure",2017-08-08,128,94,0.734375,220
"No","Kairomone","Pheromone lure",2017-08-23,135,97,0.718518518518519,235
"No","PPO","No pheromone lure",2017-06-15,25,22,0.88,166
"No","PPO","No pheromone lure",2017-06-22,67,55,0.82089552238806,173
"No","PPO","No pheromone lure",2017-06-28,339,268,0.790560471976401,179
"No","PPO","No pheromone lure",2017-07-06,378,310,0.82010582010582,187
"No","PPO","No pheromone lure",2017-07-11,101,83,0.821782178217822,192
"No","PPO","No pheromone lure",2017-07-20,81,69,0.851851851851852,201
"No","PPO","No pheromone lure",2017-07-27,56,47,0.839285714285714,208
"No","PPO","No pheromone lure",2017-08-01,121,104,0.859504132231405,213
"No","PPO","No pheromone lure",2017-08-08,147,110,0.748299319727891,220
"No","PPO","No pheromone lure",2017-08-23,205,175,0.853658536585366,235
"No","PPO","Pheromone lure",2017-06-15,63,50,0.793650793650794,166
"No","PPO","Pheromone lure",2017-06-22,78,67,0.858974358974359,173
"No","PPO","Pheromone lure",2017-06-28,378,296,0.783068783068783,179
"No","PPO","Pheromone lure",2017-07-06,455,363,0.797802197802198,187
