"Crop","MD","Treatment","Rep","Trap","nObs","Total"
"Alm","No","NowBiolure","1",314,14,193
"Alm","No","NowBiolure","2",324,14,92
"Alm","No","NowBiolure","3",332,14,164
"Alm","No","NowBiolure","4",343,14,148
"Alm","No","NowBiolure","5",355,14,168
"Alm","No","NowBiolure","6",361,14,119
"Alm","No","NowBiolure","7",371,14,148
"Alm","No","NowBiolure","8",381,14,197
"Alm","No","Ppo","1",315,14,278
"Alm","No","Ppo","2",322,14,272
"Alm","No","Ppo","3",333,14,244
"Alm","No","Ppo","4",345,14,311
"Alm","No","Ppo","5",351,14,307
"Alm","No","Ppo","6",362,14,155
"Alm","No","Ppo","7",375,14,352
"Alm","No","Ppo","8",382,14,170
"Alm","No","PpoCombo","1",311,14,705
"Alm","No","PpoCombo","2",325,14,246
"Alm","No","PpoCombo","3",334,14,365
"Alm","No","PpoCombo","4",344,14,383
"Alm","No","PpoCombo","5",354,14,674
"Alm","No","PpoCombo","6",364,14,532
"Alm","No","PpoCombo","7",372,14,365
"Alm","No","PpoCombo","8",383,14,339
"Alm","No","StopNow","1",312,14,47
"Alm","No","StopNow","2",323,14,39
"Alm","No","StopNow","3",335,14,55
"Alm","No","StopNow","4",342,14,52
"Alm","No","StopNow","5",353,13,33
"Alm","No","StopNow","6",365,14,75
"Alm","No","StopNow","7",373,14,58
"Alm","No","StopNow","8",385,14,60
"Alm","No","StopNowCombo","1",313,14,249
"Alm","No","StopNowCombo","2",321,11,164
"Alm","No","StopNowCombo","3",331,14,157
"Alm","No","StopNowCombo","4",341,14,198
"Alm","No","StopNowCombo","5",352,14,289
"Alm","No","StopNowCombo","6",363,14,216
"Alm","No","StopNowCombo","7",374,14,189
"Alm","No","StopNowCombo","8",384,14,297
"Alm","Yes","NowBiolure","1",115,13,1
"Alm","Yes","NowBiolure","2",121,12,1
"Alm","Yes","NowBiolure","3",131,13,1
"Alm","Yes","NowBiolure","4",145,13,3
"Alm","Yes","NowBiolure","5",151,13,20
"Alm","Yes","NowBiolure","6",163,13,0
"Alm","Yes","NowBiolure","7",175,13,3
"Alm","Yes","NowBiolure","8",181,13,0
"Alm","Yes","Ppo","1",114,13,76
"Alm","Yes","Ppo","2",125,13,140
"Alm","Yes","Ppo","3",135,12,130
"Alm","Yes","Ppo","4",143,13,82
"Alm","Yes","Ppo","5",155,13,44
"Alm","Yes","Ppo","6",162,11,73
"Alm","Yes","Ppo","7",174,13,73
"Alm","Yes","Ppo","8",182,13,31
"Alm","Yes","PpoCombo","1",111,13,217
"Alm","Yes","PpoCombo","2",124,13,205
"Alm","Yes","PpoCombo","3",133,13,156
"Alm","Yes","PpoCombo","4",142,13,163
"Alm","Yes","PpoCombo","5",152,13,101
"Alm","Yes","PpoCombo","6",164,13,198
"Alm","Yes","PpoCombo","7",173,13,143
"Alm","Yes","PpoCombo","8",183,13,171
"Alm","Yes","StopNow","1",112,13,13
"Alm","Yes","StopNow","2",123,13,14
"Alm","Yes","StopNow","3",132,13,7
"Alm","Yes","StopNow","4",141,11,7
"Alm","Yes","StopNow","5",154,13,44
"Alm","Yes","StopNow","6",165,13,22
"Alm","Yes","StopNow","7",171,13,7
"Alm","Yes","StopNow","8",185,12,16
"Alm","Yes","StopNowCombo","1",113,13,23
"Alm","Yes","StopNowCombo","2",122,12,28
"Alm","Yes","StopNowCombo","3",134,13,29
"Alm","Yes","StopNowCombo","4",144,13,39
"Alm","Yes","StopNowCombo","5",153,13,24
"Alm","Yes","StopNowCombo","6",161,12,23
"Alm","Yes","StopNowCombo","7",172,13,32
"Alm","Yes","StopNowCombo","8",184,13,8
"Pis","No","NowBiolure","1",414,14,151
"Pis","No","NowBiolure","2",422,14,58
"Pis","No","NowBiolure","3",432,14,71
"Pis","No","NowBiolure","4",445,14,65
"Pis","No","NowBiolure","5",455,14,48
"Pis","No","NowBiolure","6",465,14,60
"Pis","No","NowBiolure","7",474,14,89
"Pis","No","NowBiolure","8",481,14,121
"Pis","No","Ppo","1",413,14,163
"Pis","No","Ppo","2",423,14,149
"Pis","No","Ppo","3",431,14,154
"Pis","No","Ppo","4",443,14,159
"Pis","No","Ppo","5",452,14,109
"Pis","No","Ppo","6",464,14,147
"Pis","No","Ppo","7",475,14,236
"Pis","No","Ppo","8",482,14,127
"Pis","No","PpoCombo","1",411,13,228
"Pis","No","PpoCombo","2",424,14,222
"Pis","No","PpoCombo","3",433,14,203
"Pis","No","PpoCombo","4",442,13,221
"Pis","No","PpoCombo","5",454,14,251
