"Rep","TrapID","TrtCode","Treatment","Site","Crop","MD","Count","Male","CantDist","EndDate","StartDate","IntDays","NowPrWk","pMale"
1,1011,"B","WingPheroPpo","VistaVerde","Almond","Yes",40,23,0,2018-06-29,2018-06-21,8,35,0.575
1,1012,"D","DeltPheroPpo","VistaVerde","Almond","Yes",4,2,0,2018-06-29,2018-06-21,8,3.5,0.5
1,1013,"C","BuckPheroPpo","VistaVerde","Almond","Yes",10,4,0,2018-06-29,2018-06-21,8,8.75,0.4
1,1014,"E","BuckPpo","VistaVerde","Almond","Yes",2,1,0,2018-06-29,2018-06-21,8,1.75,0.5
2,1021,"B","WingPheroPpo","VistaVerde","Almond","Yes",32,21,0,2018-06-29,2018-06-21,8,28,0.65625
2,1023,"C","BuckPheroPpo","VistaVerde","Almond","Yes",10,4,0,2018-06-29,2018-06-21,8,8.75,0.4
2,1024,"E","BuckPpo","VistaVerde","Almond","Yes",7,2,0,2018-06-29,2018-06-21,8,6.125,0.285714285714286
2,1025,"D","DeltPheroPpo","VistaVerde","Almond","Yes",5,2,0,2018-06-29,2018-06-21,8,4.375,0.4
3,1031,"D","DeltPheroPpo","VistaVerde","Almond","Yes",16,10,0,2018-06-29,2018-06-21,8,14,0.625
3,1032,"C","BuckPheroPpo","VistaVerde","Almond","Yes",9,4,0,2018-06-29,2018-06-21,8,7.875,0.444444444444444
3,1034,"B","WingPheroPpo","VistaVerde","Almond","Yes",31,19,0,2018-06-29,2018-06-21,8,27.125,0.612903225806452
3,1035,"E","BuckPpo","VistaVerde","Almond","Yes",9,4,0,2018-06-29,2018-06-21,8,7.875,0.444444444444444
4,1041,"B","WingPheroPpo","VistaVerde","Almond","Yes",34,21,0,2018-06-29,2018-06-21,8,29.75,0.617647058823529
4,1043,"E","BuckPpo","VistaVerde","Almond","Yes",7,3,0,2018-06-29,2018-06-21,8,6.125,0.428571428571429
4,1044,"C","BuckPheroPpo","VistaVerde","Almond","Yes",18,3,0,2018-06-29,2018-06-21,8,15.75,0.166666666666667
4,1045,"D","DeltPheroPpo","VistaVerde","Almond","Yes",15,11,0,2018-06-29,2018-06-21,8,13.125,0.733333333333333
5,1051,"E","BuckPpo","VistaVerde","Almond","Yes",8,2,0,2018-06-29,2018-06-21,8,7,0.25
5,1053,"C","BuckPheroPpo","VistaVerde","Almond","Yes",3,1,0,2018-06-29,2018-06-21,8,2.625,0.333333333333333
5,1054,"B","WingPheroPpo","VistaVerde","Almond","Yes",44,33,0,2018-06-29,2018-06-21,8,38.5,0.75
5,1055,"D","DeltPheroPpo","VistaVerde","Almond","Yes",4,2,0,2018-06-29,2018-06-21,8,3.5,0.5
6,1062,"C","BuckPheroPpo","VistaVerde","Almond","Yes",9,4,0,2018-06-29,2018-06-21,8,7.875,0.444444444444444
6,1063,"D","DeltPheroPpo","VistaVerde","Almond","Yes",12,8,0,2018-06-29,2018-06-21,8,10.5,0.666666666666667
6,1064,"E","BuckPpo","VistaVerde","Almond","Yes",1,1,0,2018-06-29,2018-06-21,8,0.875,1
6,1065,"B","WingPheroPpo","VistaVerde","Almond","Yes",44,29,0,2018-06-29,2018-06-21,8,38.5,0.659090909090909
7,1072,"D","DeltPheroPpo","VistaVerde","Almond","Yes",8,1,0,2018-06-29,2018-06-21,8,7,0.125
7,1073,"E","BuckPpo","VistaVerde","Almond","Yes",4,2,0,2018-06-29,2018-06-21,8,3.5,0.5
7,1074,"B","WingPheroPpo","VistaVerde","Almond","Yes",30,19,0,2018-06-29,2018-06-21,8,26.25,0.633333333333333
7,1075,"C","BuckPheroPpo","VistaVerde","Almond","Yes",5,3,0,2018-06-29,2018-06-21,8,4.375,0.6
8,1081,"B","WingPheroPpo","VistaVerde","Almond","Yes",48,31,0,2018-06-29,2018-06-21,8,42,0.645833333333333
8,1083,"D","DeltPheroPpo","VistaVerde","Almond","Yes",14,7,1,2018-06-29,2018-06-21,8,12.25,0.538461538461538
8,1084,"C","BuckPheroPpo","VistaVerde","Almond","Yes",11,2,0,2018-06-29,2018-06-21,8,9.625,0.181818181818182
8,1085,"E","BuckPpo","VistaVerde","Almond","Yes",9,5,0,2018-06-29,2018-06-21,8,7.875,0.555555555555556
1,1011,"B","WingPheroPpo","VistaVerde","Almond","Yes",26,4,0,2018-07-12,2018-06-29,13,14,0.153846153846154
1,1012,"D","DeltPheroPpo","VistaVerde","Almond","Yes",5,3,1,2018-07-12,2018-06-29,13,2.69230769230769,0.75
1,1013,"C","BuckPheroPpo","VistaVerde","Almond","Yes",1,0,0,2018-07-12,2018-06-29,13,0.538461538461539,0
1,1014,"E","BuckPpo","VistaVerde","Almond","Yes",2,1,0,2018-07-12,2018-06-29,13,1.07692307692308,0.5
2,1021,"B","WingPheroPpo","VistaVerde","Almond","Yes",7,4,0,2018-07-12,2018-06-29,13,3.76923076923077,0.571428571428571
2,1023,"C","BuckPheroPpo","VistaVerde","Almond","Yes",4,2,0,2018-07-12,2018-06-29,13,2.15384615384615,0.5
2,1024,"E","BuckPpo","VistaVerde","Almond","Yes",6,3,0,2018-07-12,2018-06-29,13,3.23076923076923,0.5
2,1025,"D","DeltPheroPpo","VistaVerde","Almond","Yes",3,1,0,2018-07-12,2018-06-29,13,1.61538461538462,0.333333333333333
3,1031,"D","DeltPheroPpo","VistaVerde","Almond","Yes",5,1,0,2018-07-12,2018-06-29,13,2.69230769230769,0.2
3,1032,"C","BuckPheroPpo","VistaVerde","Almond","Yes",5,3,0,2018-07-12,2018-06-29,13,2.69230769230769,0.6
3,1034,"B","WingPheroPpo","VistaVerde","Almond","Yes",11,6,0,2018-07-12,2018-06-29,13,5.92307692307692,0.545454545454545
3,1035,"E","BuckPpo","VistaVerde","Almond","Yes",3,3,0,2018-07-12,2018-06-29,13,1.61538461538462,1
4,1041,"B","WingPheroPpo","VistaVerde","Almond","Yes",20,15,0,2018-07-12,2018-06-29,13,10.7692307692308,0.75
4,1043,"E","BuckPpo","VistaVerde","Almond","Yes",6,5,0,2018-07-12,2018-06-29,13,3.23076923076923,0.833333333333333
4,1044,"C","BuckPheroPpo","VistaVerde","Almond","Yes",3,3,0,2018-07-12,2018-06-29,13,1.61538461538462,1
4,1045,"D","DeltPheroPpo","VistaVerde","Almond","Yes",7,3,1,2018-07-12,2018-06-29,13,3.76923076923077,0.5
5,1051,"E","BuckPpo","VistaVerde","Almond","Yes",1,0,0,2018-07-12,2018-06-29,13,0.538461538461539,0
5,1053,"C","BuckPheroPpo","VistaVerde","Almond","Yes",4,2,0,2018-07-12,2018-06-29,13,2.15384615384615,0.5
5,1054,"B","WingPheroPpo","VistaVerde","Almond","Yes",23,11,0,2018-07-12,2018-06-29,13,12.3846153846154,0.478260869565217
5,1055,"D","DeltPheroPpo","VistaVerde","Almond","Yes",2,0,0,2018-07-12,2018-06-29,13,1.07692307692308,0
6,1062,"C","BuckPheroPpo","VistaVerde","Almond","Yes",6,2,0,2018-07-12,2018-06-29,13,3.23076923076923,0.333333333333333
6,1063,"D","DeltPheroPpo","VistaVerde","Almond","Yes",8,4,0,2018-07-12,2018-06-29,13,4.30769230769231,0.5
6,1065,"B","WingPheroPpo","VistaVerde","Almond","Yes",18,21,0,2018-07-12,2018-06-29,13,9.69230769230769,1.16666666666667
7,1073,"E","BuckPpo","VistaVerde","Almond","Yes",1,1,0,2018-07-12,2018-06-29,13,0.538461538461539,1
7,1074,"B","WingPheroPpo","VistaVerde","Almond","Yes",17,11,0,2018-07-12,2018-06-29,13,9.15384615384615,0.647058823529412
7,1075,"C","BuckPheroPpo","VistaVerde","Almond","Yes",7,4,0,2018-07-12,2018-06-29,13,3.76923076923077,0.571428571428571
8,1081,"B","WingPheroPpo","VistaVerde","Almond","Yes",29,14,0,2018-07-12,2018-06-29,13,15.6153846153846,0.482758620689655
8,1083,"D","DeltPheroPpo","VistaVerde","Almond","Yes",7,5,1,2018-07-12,2018-06-29,13,3.76923076923077,0.833333333333333
8,1084,"C","BuckPheroPpo","VistaVerde","Almond","Yes",6,4,0,2018-07-12,2018-06-29,13,3.23076923076923,0.666666666666667
8,1085,"E","BuckPpo","VistaVerde","Almond","Yes",4,2,0,2018-07-12,2018-06-29,13,2.15384615384615,0.5
