"TrtCode","Treatment","Rep","TrapID","Site","Crop","MD","Count","Male","EndDate","StartDate","prop_males","attractant","phero_lure"
"B","Ppo","1",311,"Kettleman","Alm","No",39,36,2018-04-27,2018-04-10,0.923076923076923,"PPO","No pheromone lure"
"B","Ppo","2",324,"Kettleman","Alm","No",29,25,2018-04-27,2018-04-10,0.862068965517241,"PPO","No pheromone lure"
"B","Ppo","3",333,"Kettleman","Alm","No",18,18,2018-04-27,2018-04-10,1,"PPO","No pheromone lure"
"B","Ppo","4",341,"Kettleman","Alm","No",34,30,2018-04-27,2018-04-10,0.882352941176471,"PPO","No pheromone lure"
"B","Ppo","5",354,"Kettleman","Alm","No",46,40,2018-04-27,2018-04-10,0.869565217391304,"PPO","No pheromone lure"
"B","Ppo","6",364,"Kettleman","Alm","No",42,38,2018-04-27,2018-04-10,0.904761904761905,"PPO","No pheromone lure"
"B","Ppo","7",374,"Kettleman","Alm","No",65,59,2018-04-27,2018-04-10,0.907692307692308,"PPO","No pheromone lure"
"B","Ppo","8",384,"Kettleman","Alm","No",86,80,2018-04-27,2018-04-10,0.930232558139535,"PPO","No pheromone lure"
"B","Ppo","1",311,"Kettleman","Alm","No",43,40,2018-05-04,2018-04-27,0.930232558139535,"PPO","No pheromone lure"
"B","Ppo","2",324,"Kettleman","Alm","No",36,32,2018-05-04,2018-04-27,0.888888888888889,"PPO","No pheromone lure"
"B","Ppo","3",333,"Kettleman","Alm","No",42,36,2018-05-04,2018-04-27,0.857142857142857,"PPO","No pheromone lure"
"B","Ppo","4",341,"Kettleman","Alm","No",69,64,2018-05-04,2018-04-27,0.927536231884058,"PPO","No pheromone lure"
"B","Ppo","5",355,"Kettleman","Alm","No",31,29,2018-05-04,2018-04-27,0.935483870967742,"PPO","No pheromone lure"
"B","Ppo","6",363,"Kettleman","Alm","No",39,33,2018-05-04,2018-04-27,0.846153846153846,"PPO","No pheromone lure"
"B","Ppo","7",372,"Kettleman","Alm","No",20,16,2018-05-04,2018-04-27,0.8,"PPO","No pheromone lure"
"B","Ppo","8",381,"Kettleman","Alm","No",49,39,2018-05-04,2018-04-27,0.795918367346939,"PPO","No pheromone lure"
"B","Ppo","1",311,"Kettleman","Alm","No",50,46,2018-05-16,2018-05-04,0.92,"PPO","No pheromone lure"
"B","Ppo","2",324,"Kettleman","Alm","No",48,44,2018-05-16,2018-05-04,0.916666666666667,"PPO","No pheromone lure"
"B","Ppo","3",333,"Kettleman","Alm","No",44,29,2018-05-16,2018-05-04,0.659090909090909,"PPO","No pheromone lure"
"B","Ppo","4",341,"Kettleman","Alm","No",62,52,2018-05-16,2018-05-04,0.838709677419355,"PPO","No pheromone lure"
"B","Ppo","5",355,"Kettleman","Alm","No",31,30,2018-05-16,2018-05-04,0.967741935483871,"PPO","No pheromone lure"
"B","Ppo","6",363,"Kettleman","Alm","No",27,22,2018-05-16,2018-05-04,0.814814814814815,"PPO","No pheromone lure"
"B","Ppo","7",372,"Kettleman","Alm","No",21,19,2018-05-16,2018-05-04,0.904761904761905,"PPO","No pheromone lure"
"B","Ppo","8",381,"Kettleman","Alm","No",55,48,2018-05-16,2018-05-04,0.872727272727273,"PPO","No pheromone lure"
"B","Ppo","1",311,"Kettleman","Alm","No",14,7,2018-05-25,2018-05-16,0.5,"PPO","No pheromone lure"
"B","Ppo","2",324,"Kettleman","Alm","No",17,10,2018-05-25,2018-05-16,0.588235294117647,"PPO","No pheromone lure"
"B","Ppo","3",333,"Kettleman","Alm","No",19,13,2018-05-25,2018-05-16,0.684210526315789,"PPO","No pheromone lure"
"B","Ppo","4",341,"Kettleman","Alm","No",17,12,2018-05-25,2018-05-16,0.705882352941177,"PPO","No pheromone lure"
"B","Ppo","5",355,"Kettleman","Alm","No",5,4,2018-05-25,2018-05-16,0.8,"PPO","No pheromone lure"
"B","Ppo","6",363,"Kettleman","Alm","No",19,11,2018-05-25,2018-05-16,0.578947368421053,"PPO","No pheromone lure"
"B","Ppo","7",372,"Kettleman","Alm","No",9,6,2018-05-25,2018-05-16,0.666666666666667,"PPO","No pheromone lure"
