"Treatment","Rep","Count"
"WingPhero",1,0
"WingPhero",2,0
"WingPhero",3,0
"WingPhero",4,0
"WingPhero",5,0
"WingPhero",6,0
"WingPhero",7,0
"WingPhero",8,0
"WingPheroPpo",1,37
"WingPheroPpo",2,56
"WingPheroPpo",3,35
"WingPheroPpo",4,58
"WingPheroPpo",5,34
"WingPheroPpo",6,39
"WingPheroPpo",7,30
"WingPheroPpo",8,57
"DeltPheroPpo",1,11
"DeltPheroPpo",2,21
"DeltPheroPpo",3,26
"DeltPheroPpo",4,30
"DeltPheroPpo",5,19
"DeltPheroPpo",6,42
"DeltPheroPpo",7,31
"DeltPheroPpo",8,25
"BuckPpo",1,4
"BuckPpo",2,3
"BuckPpo",3,2
"BuckPpo",4,6
"BuckPpo",5,15
"BuckPpo",6,1
"BuckPpo",7,8
"BuckPpo",8,3
"BuckPheroPpo",1,13
"BuckPheroPpo",2,11
"BuckPheroPpo",3,0
"BuckPheroPpo",4,15
"BuckPheroPpo",5,10
"BuckPheroPpo",6,10
"BuckPheroPpo",7,7
"BuckPheroPpo",8,6
