"Treatment","Rep","Count"
"WingPhero",1,0
"WingPhero",2,0
"WingPhero",3,0
"WingPhero",4,0
"WingPhero",5,1
"WingPhero",6,0
"WingPhero",7,0
"WingPhero",8,0
"WingPheroPpo",1,66
"WingPheroPpo",2,39
"WingPheroPpo",3,42
"WingPheroPpo",4,54
"WingPheroPpo",5,67
"WingPheroPpo",6,62
"WingPheroPpo",7,47
"WingPheroPpo",8,77
"DeltPheroPpo",1,9
"DeltPheroPpo",2,8
"DeltPheroPpo",3,21
"DeltPheroPpo",4,22
"DeltPheroPpo",5,6
"DeltPheroPpo",6,20
"DeltPheroPpo",7,8
"DeltPheroPpo",8,21
"BuckPpo",1,4
"BuckPpo",2,13
"BuckPpo",3,12
"BuckPpo",4,13
"BuckPpo",5,9
"BuckPpo",6,1
"BuckPpo",7,5
"BuckPpo",8,13
"BuckPheroPpo",1,11
"BuckPheroPpo",2,14
"BuckPheroPpo",3,14
"BuckPheroPpo",4,21
"BuckPheroPpo",5,7
"BuckPheroPpo",6,15
"BuckPheroPpo",7,12
"BuckPheroPpo",8,17
