"Treatment","Replicate","Count"
"WingPhero",1,0
"WingPhero",2,1
"WingPhero",3,0
"WingPhero",4,0
"WingPhero",5,2
"WingPhero",6,0
"WingPhero",7,3
"WingPhero",8,1
"WingPpo",1,33
"WingPpo",2,49
"WingPpo",3,47
"WingPpo",4,28
"WingPpo",5,42
"WingPpo",6,55
"WingPpo",7,68
"WingPpo",8,17
"WingCombo",1,34
"WingCombo",2,99
"WingCombo",3,64
"WingCombo",4,38
"WingCombo",5,109
"WingCombo",6,58
"WingCombo",7,79
"WingCombo",8,76
"DeltaPpo",1,16
"DeltaPpo",2,4
"DeltaPpo",3,9
"DeltaPpo",4,12
"DeltaPpo",5,13
"DeltaPpo",6,8
"DeltaPpo",7,4
"DeltaPpo",8,4
"DeltaCombo",1,32
"DeltaCombo",2,11
"DeltaCombo",3,29
"DeltaCombo",4,9
"DeltaCombo",5,7
"DeltaCombo",6,24
"DeltaCombo",7,26
"DeltaCombo",8,18
"ModPpo",1,16
"ModPpo",2,19
"ModPpo",3,24
"ModPpo",4,21
"ModPpo",5,22
"ModPpo",6,28
"ModPpo",7,27
"ModPpo",8,15
"ModCombo",1,16
"ModCombo",2,26
"ModCombo",3,40
"ModCombo",4,33
"ModCombo",5,34
"ModCombo",6,28
"ModCombo",7,39
"ModCombo",8,27
