"Crop","MD","Treatment","nObs","avg","sem"
"Alm","No","NowBiolure",8,33.2708333333333,2.00988072673835
"Alm","No","Ppo",8,25.9583333333333,2.23955910839611
"Alm","No","PpoCombo",8,46.4791666666667,3.52421294545614
"Alm","No","StopNow",7,22.3333333333333,2.27244827532359
"Alm","No","StopNowCombo",8,39.3125,2.05635809890991
"Pis","No","NowBiolure",8,6.60714285714286,0.972189827772586
"Pis","No","Ppo",8,9.89285714285714,1.22615745282788
"Pis","No","PpoCombo",8,14.1607142857143,1.42049695139458
"Pis","No","StopNow",7,4.40816326530612,0.714577200000473
"Pis","No","StopNowCombo",8,8,0.907532456912619
"Pis","Yes","NowBiolure",8,6.66666666666667,0.487950036474266
"Pis","Yes","Ppo",8,8.02083333333333,0.858222080168582
"Pis","Yes","PpoCombo",7,12.5952380952381,2.01346562914745
"Pis","Yes","StopNow",6,4.88888888888889,0.321070739484442
"Pis","Yes","StopNowCombo",8,11.4791666666667,1.36474803622535
